TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
29.9;21;25.03;89.27;65;98;192;122;5;1.05;800;1260;1760;3704
29;19.6;23.71;90.9;67;98;176;131.4;3.61;0.57;440;1260;1620;3169
30.2;19.9;24.47;87.02;57;98;230;10.6;3.33;0.61;960;1420;1840;3932
30.3;20.6;24.67;86.17;58;98;256;5.6;3.06;0.65;760;2260;2300;6315
31.4;20.1;24.49;87.9;55;98;233;72.4;4.44;0.78;780;2410;2400;4740
30.3;20.1;24.66;82.57;55;98;295;0;;;480;1580;2380;4336
;;;;;;;;;;340;1440;2260;3811
;;;;;;;;;;1200;1960;2400;5272
;;;;;;;;;;880;1660;2120;4269
;;;;;;;;;;1100;1740;2200;4359
;;;;;;;;;;1120;1960;2180;5467
;;;;;;;;;;860;1780;2340;4866
;;;;;;;;;;1280;2300;2320;5718
31.4;20.1;25.24;82.36;48;98;391;5.2;2.22;0.61;;;;
32.1;18.8;25.15;85.02;58;98;341;13.4;2.69;0.57;840;1720;2260;4969
30.8;16.9;24.23;85.61;54;98;311;34.6;3.14;0.57;940;1700;2340;4934
36.1;20;26.19;81.67;40;99;383;6.6;2.22;0.45;60;1360;2300;4077
33.1;17.9;25.23;81.66;51;98;412;12.4;2.22;0.55;100;1300;1820;3422
32.3;19.1;24.42;86.61;50;98;342;209.6;2.22;0.66;380;1540;2220;4613
30.6;19.6;24.97;87.6;62;97;298;62.6;2.22;0.42;240;1440;2320;4415
31.8;19.7;24.77;83.35;45;98;369;5.4;1.78;0.38;840;1520;1840;4060
32.8;20.6;25.67;83.46;55;97;366;39.4;2.22;0.46;360;1420;1820;4052
34.2;21.4;27.01;82.08;58;97;400;12.6;1.78;0.41;640;1840;2180;4653
32.3;21.1;25.12;87.92;63;98;287;39.4;2.69;0.37;580;1840;2260;5384
31.4;21.1;24.83;91.3;64;98;268;186.2;1.78;0.33;720;1960;2260;5406
31.8;21.6;24.85;91.26;69;98;232;51.2;1.78;0.3;520;1660;2240;4850
;;;;;;;;;;620;1980;2340;5016
33.8;21.6;25.75;87.59;59;97;329;27.8;1.78;0.38;;;;
32.6;20.7;24.88;86.97;61;97;314;84.6;2.69;0.4;620;1980;2340;5146
30.6;21.7;25.48;87.27;64;97;386;111.6;1.78;0.44;1440;2260;2400;5336
31.1;21.6;25.05;88.93;63;97;272;71.4;1.78;0.26;1200;2200;2380;5907
31.2;20.5;24.44;88.42;61;97;273;47.2;2.22;0.35;1260;2260;2300;5809
31.1;21.3;25.14;88.58;66;97;264;59;1.78;0.27;960;2060;2360;6442
32.1;20;25.16;87.27;62;97;320;111;2.69;0.41;900;1660;2380;5445
30.9;21.8;24.75;90.38;65;97;215;179;2.22;0.34;1040;1980;2380;5465
30.7;21.7;24.84;89.44;65;97;248;167.2;1.78;0.33;1020;2020;2380;6143
31.6;20.8;24.64;89.76;59;97;235;48;1.78;0.33;980;1860;2360;5745
30.9;20.1;24.77;89.47;64;97;281;211.2;1.78;0.3;1140;1760;2320;5714
31.4;20.9;25.41;85.21;60;96;374;24;3.14;0.39;1320;2260;2300;6396
31.8;20.8;25.65;84.83;58;96;332;46.4;1.78;0.33;1300;2380;2400;8262
32.2;20.6;25.75;84.81;54;97;377;73.8;2.69;0.39;1240;2480;2400;7236
32;20;25.59;84.63;60;96;387;29.6;2.22;0.47;960;2200;2400;6447
32.1;20.7;25.19;85.86;59;96;331;36.4;3.14;0.38;700;1740;2380;5293
32.6;20.6;25.39;85.66;59;97;349;41.2;1.78;0.35;900;2040;2280;5895
32.9;21.1;25.83;84.99;59;96;359;19;2.22;0.4;1280;2260;2400;6904
