Lugar;Algoritmo;RMSE;R2
28 Millas;ElasticNet regression;397.9250117;0.509253352
28 Millas;ElasticNet regression;397.9250117;0.509253352
28 Millas;ElasticNet regression;398.2006193;0.508707733
28 Millas;ElasticNet regression;398.2006193;0.508707733
28 Millas;ElasticNet regression;398.2006193;0.508707733
28 Millas;ElasticNet regression;398.2006193;0.508707733
28 Millas;ElasticNet regression;398.8116635;0.509650264
28 Millas;ElasticNet regression;398.8116635;0.509650264
28 Millas;ElasticNet regression;398.9315463;0.515046572
28 Millas;ElasticNet regression;398.9315463;0.515046572
28 Millas;ElasticNet regression;398.9315463;0.515046572
28 Millas;ElasticNet regression;398.9315463;0.515046572
28 Millas;ElasticNet regression;398.9834853;0.516229503
28 Millas;ElasticNet regression;398.9834853;0.516229503
28 Millas;ElasticNet regression;399.4027074;0.51002942
28 Millas;ElasticNet regression;399.4027074;0.51002942
28 Millas;ElasticNet regression;399.4027074;0.51002942
28 Millas;ElasticNet regression;399.4027074;0.51002942
28 Millas;ElasticNet regression;400.280044;0.522526449
28 Millas;ElasticNet regression;400.280044;0.522526449
28 Millas;ElasticNet regression;400.9843284;0.520774753
28 Millas;ElasticNet regression;400.9843284;0.520774753
28 Millas;ElasticNet regression;400.9843284;0.520774753
28 Millas;ElasticNet regression;400.9843284;0.520774753
28 Millas;ElasticNet regression;401.5484861;0.508844012
28 Millas;ElasticNet regression;401.5484861;0.508844012
28 Millas;ElasticNet regression;402.6802167;0.509438949
28 Millas;ElasticNet regression;402.6802167;0.509438949
28 Millas;ElasticNet regression;402.6802167;0.509438949
28 Millas;ElasticNet regression;402.6802167;0.509438949
28 Millas;ElasticNet regression;402.8209905;0.509497816
28 Millas;ElasticNet regression;402.8209905;0.509497816
28 Millas;ElasticNet regression;403.8516166;0.510299361
28 Millas;ElasticNet regression;403.8516166;0.510299361
28 Millas;ElasticNet regression;403.8516166;0.510299361
28 Millas;ElasticNet regression;403.8516166;0.510299361
28 Millas;ElasticNet regression;404.141888;0.531554802
