TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
31.4;21.8;26.61;80.64;59;95;480;2.6;8;1.95;680;1620;2140;4483.65
32.7;20.7;25.69;84.36;58;95;302;13.2;14.5;1.66;840;1780;2280;4764.2
32.8;20.8;25.75;84.28;58;95;324;11;8;1.25;800;1700;2350;4500.41
33.4;21.2;26.19;83.44;56;94;323;10.6;11.3;1.6;720;1400;2220;4403.66
32.3;21.4;26.12;83.42;55;95;327;7.6;8;1.47;800;1560;2260;4296.6
32.3;21.5;25.5;85.56;60;94;282;108.4;9.7;1.57;940;1640;2380;4297.57
31.4;22.6;25.38;85.9;60;94;225;77;8;2.21;960;1420;2080;4173.97
32.4;21.3;26.16;82.23;52;94;373;0;8;1.59;820;1520;1820;4019.8
32.1;20.8;25.76;82.65;55;94;318;2.6;6.4;1.46;1020;1940;1960;4574.64
30.5;21.7;24.87;87.05;65;95;253;48.4;8;1.83;840;1900;2200;4403.77
31.7;20.4;24.74;86.15;64;95;217;66.4;8;1.75;940;1860;2320;4393.37
31.6;20.8;25.41;84.21;57;94;257;49.4;8;1.61;1000;1860;2380;4270.4
31.2;20.3;23.88;86.71;57;94;204;70.6;6.4;1.85;1040;1600;2160;4000.5
31.2;20.8;23.86;88.31;63;95;168;340;8;2.14;1080;1920;2200;3547.29
30.8;20.7;24.01;88.03;60;95;181;181.4;8;1.99;960;1560;2240;3843.07
31.5;19.7;23.92;87.61;60;94;209;153.8;4.8;1.56;920;1560;2220;3662.75
30.3;19.7;23.87;86.19;61;94;225;88;11.3;1.64;1040;1900;2280;4492.08
30.4;21.1;23.95;85.99;58;94;235;67.6;11.3;1.63;1180;1880;2220;4261.23
30.7;19.4;23.63;84.83;51;94;245;11.6;9.7;1.79;1180;2000;2240;4318.15
31.1;18.7;23.9;83.04;48;94;310;16.8;9.7;1.96;1180;2000;2240;4925.38
31;17.9;24.19;81.13;52;94;355;1.4;9.7;1.83;1000;1660;2160;4119.78
31.2;18.4;24.42;80.98;49;94;323;13.8;9.7;2.05;900;1580;2020;3974.4
30.7;17.9;23.95;84.61;49;94;260;42.6;11.3;1.52;840;1200;2080;3687.67
30.6;18.9;24.25;82.83;55;94;328;49.4;9.7;2.11;840;1380;1980;3454.5
32;19.8;24.37;83.33;53;94;297;66;12.9;1.95;800;1220;1760;3103.62
30.7;21;24.16;86.32;55;94;220;63.8;12.9;2.08;860;1340;1400;3047.91
29.8;19.4;23.69;86.57;61;94;204;200;11.3;1.59;840;1640;1860;3495.2
30.3;19.6;24.65;84.91;58;94;265;62.6;12.9;1.88;900;1600;2240;3937.5
31.5;19.1;24.89;78.76;48;94;410;2.8;9.7;2.43;1120;1880;2220;4891.41
30.4;19.9;25.04;81.09;55;94;308;13.4;9.7;2.19;1160;2180;2300;4634.19
32.1;20.8;26.27;82.07;57;94;335;6.2;12.9;2.69;900;2260;2400;4732.15
32.2;20.6;24.93;82.7;54;94;288;29.4;9.7;2.63;800;1440;2380;4562.9
31.8;20.1;24.9;84.17;57;94;307;97;9.7;1.71;960;1420;2300;4248.6
31.7;20.9;25.71;84.27;58;94;333;52.6;12.9;1.83;800;1240;1840;3268.72
29.8;22.4;24.49;89.6;60;94;158;263;8;1.19;760;1160;1520;3199.82
31.4;22.3;24.95;89.95;63;94;179;338.8;9.7;1.41;960;1680;1720;4584.36
30.2;22.1;25.04;86.96;67;94;240;98.4;9.7;1.39;1260;1880;2140;5669.07
31.6;20.9;25.23;86.6;63;94;267;67.8;8;1.17;1360;2060;2280;5665.92
31.4;21.8;25.2;86.5;62;95;244;58.4;8;1.35;1180;2100;2280;5230.24
32.1;20.9;25.85;84.48;62;94;339;16.6;9.7;1.36;1020;1540;2340;4601.87
32.6;21.1;25.47;85.46;59;94;287;58;11.3;1.69;880;1480;2120;4270.28
31.9;20.7;25.33;86.88;58;100;227;61.8;14.5;0.8;1000;1420;1840;4342.59
31.9;21.6;25.18;86.44;55;94;248;99.8;8;1.41;1240;1500;1940;4275.12
30.9;20.6;25.15;85.49;60;94;255;61.4;12.9;1.45;1140;1780;2160;5104.25
31.7;21.6;24.69;86.63;61;94;250;107.6;6.4;1.68;1340;2040;2120;4576
31.9;21.4;25.73;84.27;62;94;325;42.6;8;1.51;1320;2000;2320;5243.31
32.2;21;25.86;83.06;59;95;309;1.4;11.3;1.5;1120;2200;2300;5305.87
32.2;22.2;25.5;86.69;56;95;224;48.4;8;1.22;;;;
32.3;21.4;26.02;84.68;60;95;331;34.4;16.1;1.72;1320;1960;2300;5314.32
32.4;19.8;25.35;86.25;58;95;279;65;11.3;1.33;1060;1800;2340;5559.65
32.2;20.7;25.15;86.33;55;96;292;36.6;8;1.17;1140;2020;2240;5611.68
31.8;20.3;25.48;84.07;60;96;339;43.2;12.9;1.5;1340;2280;2300;4740
33.4;21.4;25.48;84.62;56;96;335;51.4;9.7;1.37;1200;2040;2340;4934.88
33.2;20.8;25.92;82.65;57;96;383;10;11.3;1.58;1140;1900;2300;5312.91
32.6;21;26.08;82.15;55;96;378;0.4;9.7;1.67;1240;1860;2340;5010.32
32.2;21.2;25.46;85.93;58;96;298;29.6;8;1.3;980;1860;2360;4738.56
32.3;21.5;25.94;84.92;58;96;330;13.2;4.8;1.23;880;2000;2280;4956.66
32.8;21.4;26.42;84.57;59;97;327;2.6;9.7;1.64;960;1740;2280;4884
32.7;20.8;25.54;85.82;55;97;321;43.6;9.7;1.25;960;1740;2280;4740.12
32.4;20.6;25.33;85.25;55;97;297;40.4;6.4;1.05;960;1900;2260;4783.45
31.8;22.1;25.28;88.81;64;97;240;82.4;6.4;1.3;1100;1660;2340;5005.56
31.4;18;23.72;87.89;53;97;216;186;9.7;2.55;1040;1720;2240;4628.14
30.3;20.6;23.88;88.96;59;97;199;66;9.7;1.59;1100;2080;2200;4934.4
31.3;20.5;24.89;91.26;65;98;203;94.4;6.4;0.9;1380;2180;2300;4336.8
31.4;17.1;24.13;86.03;54;99;295;8.8;9.7;1.51;1360;2120;2380;4700.2
30.8;18.2;24.07;90.99;57;99;199;90;8;1.21;1820;2340;2400;4281.8
30.9;18.9;23.6;91.26;56;99;218;157.6;6.4;1.35;1820;2380;2400;4874.58
30.6;17.7;23.57;92;61;99;221;288.8;9.7;1.65;1440;2400;2400;4369.68
29.7;19.4;23.68;92.32;63;99;198;246.8;2.22;0.46;1560;2220;2400;5468.48
31.3;20.1;23.92;94.71;65;100;187;323.2;2.22;0.37;1440;2280;2380;4756.32
27.6;19.8;21.38;95.86;73;100;104;223.6;2.22;0.76;1600;2160;2260;4609.18
29.7;18;23.12;90.68;60;100;238;71.8;1.78;0.42;1800;2280;2380;4108.44
30.3;17.8;23.11;88.91;53;100;265;26.8;3.14;0.45;1480;2120;2340;3320.46
28.9;16.3;22.89;90.84;56;100;230;93.2;2.69;0.39;1640;2180;2360;4351.05
29;18.6;23.58;92.23;66;100;199;125;2.69;0.4;1400;2060;2360;3841.92
30.6;18.6;24.22;88.26;59;100;300;16.6;3.14;0.57;1280;2240;2300;4113.72
30.9;19.6;25.65;87.86;63;100;347;3.6;2.69;0.55;1040;1440;2280;3824.91
31.9;19.4;25.76;84.73;52;100;363;21.8;2.69;0.62;960;1320;1840;3708.8
31.6;20;26.01;85.25;56;100;384;0.4;2.69;0.67;1000;1520;1920;3601.8
31.6;21.6;25.98;88.43;62;100;293;16.2;2.69;0.58;;;;
31;19.8;25.41;88.19;57;100;329;10.2;3.14;0.59;1080;1500;2100;4850.7
32.5;20.8;25.99;87.9;55;100;273;43.32;3.14;0.29;1080;1440;1940;4513.41
32.8;21.7;26.12;90.42;59;100;296;141.7;2.22;0.46;1100;1660;2000;4643.24
31.9;20.9;24.96;91.73;62;100;263;278.63;2.22;0.47;1260;2260;2320;4802.48
32.8;21.1;26.27;86.34;47;100;396;2.78;2.69;0.54;1260;2060;2340;4807.32
32.3;20.4;25.73;88.21;60;100;335;31.23;2.69;0.43;1260;2160;2280;4944.06
31.8;22.7;26.15;91.57;67;100;264;39.31;2.22;0.41;1220;2320;2380;4694.41
32.5;22.1;26.11;91.39;63;100;304;115.16;2.69;0.46;880;1820;2300;4475.52
32.9;21.7;27.02;87.66;59;100;379;10;3.58;0.55;880;1300;2080;4088.16
32.8;22.6;26.28;90.89;60;100;325;37.6;2.69;0.35;800;1540;2020;4391.12
32.3;22.4;26.43;90.82;64;100;298;98.03;2.69;0.44;920;1920;2300;5682.95
33.8;23.1;27.43;87.88;60;100;381;6.34;2.22;0.42;880;1900;2300;5009.68
33;22.4;26.67;88.37;61;100;335;1.41;2.69;0.41;980;2300;2360;5759.28
32.5;21.7;25.59;91.65;63;100;239;92.4;2.22;0.38;1040;2300;2400;6118.75
33.2;20.6;27.06;86.11;60;100;424;1.8;2.22;0.52;840;1940;2380;4569.15
33.4;21.8;25.71;90.42;59;100;279;37.4;1.78;0.32;880;2100;2400;4708.44
32.1;21.4;25.73;90.67;63;100;274;49.2;2.22;0.33;720;1580;2240;4353.7
32.8;22.9;25.9;93.86;64;100;250;99.2;3.1;0.43;1040;1900;2280;5202.9
31.6;22.1;24.98;95.29;67;100;178;52.4;2.7;0.22;800;2200;2260;4856.85
32.1;21.2;25.23;93.82;67;100;245;126;9.7;0.58;900;1960;2340;5157.49
31.8;20.9;25.61;91.66;63;100;291;46.2;11.3;1.2;840;2060;2320;5570.91
32.7;21.2;26.13;89.06;60;100;350;13.2;12.9;1.51;840;1880;2320;4691.7
33.5;21;26.16;88.49;57;100;361;36.6;11.3;1.78;760;2180;2360;5554.64
32.4;20.2;25.74;91.19;61;100;296;69.4;11.3;1.44;840;1620;2300;4957.85
32.2;21.1;25.42;92.93;68;100;247;48.2;16.1;1.35;800;1300;1980;4179.06
32.1;22.4;26.09;90.26;65;100;355;48.6;17.7;2.17;880;1620;2040;4372.21
32.5;21.6;25.97;89.53;61;100;329;64.2;11.3;1.6;;;;
33.7;21.8;26.26;88.85;53;100;345;11.8;11.3;2.03;880;2000;2240;4382.52
32.2;21.3;25.29;92.29;64;100;290;87.4;11.3;1.72;960;1860;2320;5059.2
33.9;21.5;25.48;92.23;54;100;313;215.8;12.9;1.56;960;2040;2360;5066.84
31.4;20.8;24.63;89.86;56;100;253;132.4;9.7;2.43;1240;2020;2360;4758.44
