algoritmo;antes;configuracion;despues;disc_cont;escalax;escalay;lugar;metodoescalar;num_train;patron;r2;rmse;tipo;variables
ESN;4;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;576; 4S-Period-P 1;0.41575623;497.611432;50;NecesariasConfig
ESN;4;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;576; 4S-Period-P 1;0.449186661;464.8378529;50;Par*1*3
ESN;4;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;576; 4S-Period-P 1;0.420372004;492.9132262;50;Par*1*4
ESN;4;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;576; 4S-Period-P 1;0.449568977;464.4788805;50;Todas
ESN;5;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;575; 5S-Period-P 1;0.42500446;488.2566669;50;NecesariasConfig
ESN;5;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;575; 5S-Period-P 1;0.458069657;456.5818664;50;Par*1*3
ESN;5;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;575; 5S-Period-P 1;0.462073483;452.91702;50;Par*1*4
ESN;5;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;575; 5S-Period-P 1;0.400382099;513.7036552;50;Todas
ESN;7;Neuronas= 229 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;572; 7S-Period-P 2;0.490331272;427.8875451;50;NecesariasConfig
ESN;7;Neuronas= 229 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;572; 7S-Period-P 2;0.498801736;420.6987766;50;Par*1*3
ESN;7;Neuronas= 229 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;572; 7S-Period-P 2;0.472055311;443.8418162;50;Par*1*4
ESN;7;Neuronas= 229 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;572; 7S-Period-P 2;0.337353046;588.2057055;50;Todas
ESN;12;Neuronas= 227 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;567;12S-Period-P 2;0.439181343;474.2635341;50;NecesariasConfig
ESN;12;Neuronas= 227 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;567;12S-Period-P 2;0.479901275;436.9154384;50;Par*1*3
ESN;12;Neuronas= 227 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;567;12S-Period-P 2;0.472347235;443.581952;50;Par*1*4
ESN;12;Neuronas= 227 - Leaking rate=0.07;2;Segun-Config;1;0;La Rita;5;567;12S-Period-P 2;0.31069634;625.1261575;50;Todas
ESN;4;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;576; 4S-Period-P 1;0.503980813;416.4423839;50;Unica*1
ESN;5;Neuronas= 230 - Leaking rate=0.07;1;Segun-Config;1;0;La Rita;5;575; 5S-Period-P 1;0.513095991;408.9168923;50;Unica*1
SVR model con Kernel linear;1;"{'kernel': 'linear', 'C': 10, 'probability': False, 'degree': 1, 'epsilon': 0.1, 'shrinking': True, 'max_iter': -1, 'random_state': None, 'tol': 0.001, 'cache_size': 200, 'coef0': 0.0, 'gamma': 0.0, 'verbose': False} [[ -1.01694915e-01   3.58024691e-01   7.28925620e-01 ...,  -3.42857143e-01
    4.80000000e-01   4.48365000e+03]
 [  1.18644068e-01   8.64197531e-02   4.24793388e-01 ...,  -1.14285714e-01
    7.60000000e-01   4.76420000e+03]
 [  1.35593220e-01   1.11111111e-01   4.44628099e-01 ...,  -2.28571429e-01
    9.00000000e-01   4.50041000e+03]
 ..., 
 [  1.15254237e-01   2.34567901e-01   3.85123967e-01 ...,   6.57142857e-01
    9.60000000e-01   5.30670000e+03]
 [  1.13559322e-01   5.20987654e-01   6.00000000e-01 ...,   7.14285714e-01
    1.00000000e+00   5.09233000e+03]
 [  3.83050847e-01   3.25925926e-01   7.91735537e-01 ...,   6.57142857e-01
    9.20000000e-01   5.26319000e+03]]";1;Segun-Config;1;0;La Rita;5;579; 1S-Period-P 1;0.539244122;388.021169;50;Todas
