X1;X2;X3;X4;XAntSigatoka;Sigatoka
26.61;80.64;2.60;1.95;4483.65;4764.20
25.69;84.36;13.20;1.66;4764.20;4500.41
25.75;84.28;11.00;1.25;4500.41;4403.66
26.19;83.44;10.60;1.60;4403.66;4296.60
26.12;83.42;7.60;1.47;4296.60;4297.57
25.50;85.56;108.40;1.57;4297.57;4173.97
25.38;85.90;77.00;2.21;4173.97;4019.80
26.16;82.23;0.00;1.59;4019.80;4574.64
25.76;82.65;2.60;1.46;4574.64;4403.77
24.87;87.05;48.40;1.83;4403.77;4393.37
24.74;86.15;66.40;1.75;4393.37;4270.40
25.41;84.21;49.40;1.61;4270.40;4000.50
23.88;86.71;70.60;1.85;4000.50;3547.29
23.86;88.31;340.00;2.14;3547.29;3843.07
24.01;88.03;181.40;1.99;3843.07;3662.75
23.92;87.61;153.80;1.56;3662.75;4492.08
23.87;86.19;88.00;1.64;4492.08;4261.23
23.95;85.99;67.60;1.63;4261.23;4318.15
23.63;84.83;11.60;1.79;4318.15;4925.38
23.90;83.04;16.80;1.96;4925.38;4119.78
24.19;81.13;1.40;1.83;4119.78;3974.40
24.42;80.98;13.80;2.05;3974.40;3687.67
23.95;84.61;42.60;1.52;3687.67;3454.50
24.25;82.83;49.40;2.11;3454.50;3103.62
24.37;83.33;66.00;1.95;3103.62;3047.91
24.16;86.32;63.80;2.08;3047.91;3495.20
23.69;86.57;200.00;1.59;3495.20;3937.50
24.65;84.91;62.60;1.88;3937.50;4891.41
24.89;78.76;2.80;2.43;4891.41;4634.19
25.04;81.09;13.40;2.19;4634.19;4732.15
26.27;82.07;6.20;2.69;4732.15;4562.90
24.93;82.70;29.40;2.63;4562.90;4248.60
24.90;84.17;97.00;1.71;4248.60;3268.72
25.71;84.27;52.60;1.83;3268.72;3199.82
24.49;89.60;263.00;1.19;3199.82;4584.36
24.95;89.95;338.80;1.41;4584.36;5669.07
25.04;86.96;98.40;1.39;5669.07;5665.92
25.23;86.60;67.80;1.17;5665.92;5230.24
25.20;86.50;58.40;1.35;5230.24;4601.87
25.85;84.48;16.60;1.36;4601.87;4270.28
25.47;85.46;58.00;1.69;4270.28;4342.59
25.33;86.88;61.80;0.80;4342.59;4275.12
25.18;86.44;99.80;1.41;4275.12;5104.25
25.15;85.49;61.40;1.45;5104.25;4576.00
